epoch,train_loss,val_loss,best_val_loss,epoch_time_sec,checkpoint_saved
1,0.1392757147550583,0.1072658970952034,0.1072658970952034,2.9275609999895096,1
1,0.08010017189483803,0.08106068548901628,0.08106068548901628,39.65010729999631,1
2,0.07966648966360551,0.08093252653876941,0.08093252653876941,40.793974900007015,1
3,0.08781467829472743,0.08103518286952749,0.08093252653876941,33.77792910000426,0
4,0.07425606720006236,0.08084792350806917,0.08084792350806917,34.473154899984365,1
5,0.07317022699862719,0.0808979826591288,0.08084792350806917,34.210041899990756,0
6,0.07395999389700592,0.08095206170886134,0.08084792350806917,33.14350159998867,0
7,0.0726245628992239,0.08091632300056517,0.08084792350806917,32.17716050002491,0
8,0.07522080322870842,0.08088156575104222,0.08084792350806917,30.965095499996096,0
9,0.07326060633819836,0.08088606751213472,0.08084792350806917,30.98283769999398,0
10,0.07581377989397599,0.08106249594129622,0.08084792350806917,29.997192300012102,0
