method_key,strategy_key,method_name,method_type,checkpoint_path,sample_count,success_count,failure_count,timeout_count,mean_processing_time_ms,mean_heart_si_sdr_db,mean_lung_si_sdr_db,mean_heart_snr_improvement_db,mean_lung_snr_improvement_db,mean_heart_mse,mean_lung_mse,mean_heart_mae,mean_lung_mae,mean_heart_correlation,mean_lung_correlation,mean_heart_alignment_lag_samples,mean_lung_alignment_lag_samples
fixed_filter_fixed_filter_baseline,fixed_filter,Fixed Filter Baseline,baseline,builtin://fixed_filter,23,23,0,0,44.0,-18.268600191551464,-26.439724407091397,3.2252844519696113,3.6417618448755276,0.0003263780771723522,0.0001486646451667184,0.006672122136122831,0.00558524778234246,0.13003488373795843,0.13623053300365362,-14.608695652173912,1.0434782608695652
neossnet_neossnet_hls_fine_tuned,neossnet,NeoSSNet HLS Fine-tuned,deep_learning,storage/ml_models/neossnet_hls_finetuned.pt,23,23,0,0,103.6086956521739,-20.477333299094205,-24.76269302043763,7.903736658455172,7.037616055223109,2.0573216340341354e-05,2.916129529773531e-05,0.002425243207455977,0.003318050706698357,0.11749710354064076,0.1330219960008041,-34.43478260869565,22.782608695652176
neossnet_neossnet_original,neossnet,NeoSSNet Original,deep_learning,storage/ml_models/model_best.pt,23,23,0,0,211.91304347826087,-18.35870823999536,-29.599472663608374,-23.436698188102437,-13.30130650722981,0.02419693747272148,0.004608566421666183,0.08907373464139907,0.03426204257361267,0.12064249164189936,-0.0761750977597076,-39.130434782608695,-3.4782608695652173
nmf_nmf_decomposition,nmf,NMF Decomposition,decomposition,builtin://nmf,23,23,0,0,106.6086956521739,-21.745557089493765,-27.74391130466949,6.495930002355068,5.657883235363289,0.00015944054401327025,4.9788428095385115e-05,0.0036681163144986267,0.003728666535133253,0.030919280427358108,0.006727541070754864,-75.82608695652173,-0.17391304347826086
vmd_vmd_decomposition,vmd,VMD Decomposition,decomposition,builtin://vmd,23,23,0,0,262.04347826086956,-18.982516789416266,-32.29901110455433,2.8236729240179095,5.095859417548093,0.00035582970282694475,9.54556190544795e-05,0.007085696584038922,0.00408353661591916,0.1258143854676724,0.05433278620866878,-25.217391304347824,-32.52173913043478
